text,label
haii,aku mau nanya. sekalipun diminta cv doang juga tetep kasih surat lamaran kerja? bedanya body email sama surat lamaran kerja apa ya? soalnya aku masih suka susah bedain.. dan aku selama ini ngirim file cv
iya,sering. terus
ada ga sih cewe yang tulus ke aku,takut patah hati	Fear
udah mau tanggal 14 februari. tolong jangan aneh-aneh yah pas valentine day,soalnya gua gak suka sama scorpio. tolong banget nih.	Fear
gataunyaa,emang suka dikerasin gitu
mau tanya,kalian lebih suka /bw kalo di au tuh yg seumuran/ si bright lebih tua jd manggil kakak gitu. bimbang banget	Fear
kenapa ya gue suka kaget ada luka cakar? kucing sendiri. cuma kadang gue gak inget terus pas lagi elus kaki ada luka melintang,ternyata cakar kucing. dan pagi ini ada lagi. dua pula. mana gede banget anjir. fix
suka,kadang berasa lagi ngomong sama dahyun soalnya ak mirip banget sama dahyun tapi ragu-ragu	Fear
aku gini,mamah nya masih sering banget minta temenin pegi atau ga nyuruh main kerumah. padahal mamahnya tau kita udah ga bareng. berasa takut
aku mah masa tiap harii sama kadang nih paginya ga ngapa2in tetep aja ke logout,makanya ini suka degdegan banget takuut	Fear
ga boleh boncengan cowo cewe kalo bukan sodaraan,aneh banget sih menurutku. soalnya kan banyak nih cowo-cowo yang suka dengan baik hati nawarin boncengan soalnya ya emang baik aja gitu as a friend
jangan pernah lo sia2in,lo kecewain
ga. gue tuh pengen tidur cepet,tapi selalu nggak bisa
terus tadi gue sempet stalk ig nya gitu terus lo tau?? gue ga sengaja click like anjir demi allah gue langsung ah mau menghilang dari bumi!! terus kalau di sekolah kan suka papasan gitu gue suka pengen nyapa tapi takut,duh gimana ya cara kenalan nya? kasih tips dong	Fear
ngga tau kenapa dr kecil aku takut banget sm laut. lebih suka bukit,gunung sebenernya suka banget tp kan dingin
kenapa ya orang suka banget ujar kebencian,ga mikirin perasaan orang lain tuh sedih atau kepikiran gituu
iya njir,deobo gada kabar samsek
skrg gwe gk berani lg nntn sndiri di bioskop,pdhl dlu biasa biasa ajj
ga biasa bgt. weekend padahal. suami bangun pagi,jogging
kirain saya saja yg g sk seblak,nyium aroma y saja mual	Fear
dua hari ini,ngerasa flu tapi gejala omicron gtu. semoga aja si emng flu biasa
tdr gua knp gabisa tenang si,ya gua tau setiap hri hrs bgun pgi
* sepasang muda-mudi lagi nonton bioskop. ceweknya berbisik,"mas ada orang onani di sebelahku. ""cuekin saja"
hlt! guys,aku punya kebiasaan ngopi
orang di rumah sakit sudah biasa ketemu dokter,lah aku malah takutan	Fear
iya iyaang.. mau reply biasa gw kong tapi gw tag bapak ade,takut nganu nanti	Fear
lah lah kaget dong aku,kok kamu malah sedih??	Fear
aneh bgt perasaanya ga enak gini. kek degdegkan,sedih
break dulu,soalnya gamau kecewa untuk yg kedua kalinya sebelum ketemu yg benar-benar tulus	Fear
kepikiran bikin ginian dari kapan tahun karena merasakan susahnya cari peralatan bayi tp dipakai cuman sebentar. tp liat kondisi daerah sini gak memungkinkan,banyak yg sepi jasa sewanya
ini yang gue takut,kalo uda mulai berharap sama orang
gak enak,jangan sedih sedih juga ah
sedikit sedih kmren ngga jadi tindakan injeksi tp emng bener kata dokternya,aku dah vakum 3 bulanan
gara2 osd ceramah masalah ks,diotak gua terngiang2
naik mobil yang disopirin bapakku,ekstrim bgt
menjijikan sekali:( kesel,marah
ff,ya? hmm
mana pulangnya kan malem ya,"eh jalannya tbtb sepi gada lampu jalan :"" agak gimana gitu	Fear"
inget guys teras cihampelas bandung tempat relokasi penjual sepanjang jalan cihampelas aja ga efektif. mungkin beberapa bulan pertama bakal banyak pengunjung tapi setelah ketemu banyak minusnya bakal sepi dan kumuh,jadi agak jijik gitu	Fear
takutnya kecewa,jadi kasihan gitu	Fear
mau nonton kukira kau rumah awokaowkwk,tapi takut terlalu sedih jadi kalut	Fear
gila,sepi bgt rumah gue berasa nge kos nying takut ah	Fear
