text,label
ini ko orang2 komennya dia pada softie yak galak woi dia galak amat apalagi kalo aku belom tidur beuh kena marah wkwk dia baek,selalu jadi penyemangat trus kalo aku ngerasa insecure. moga kita bisa ketemu ye
alhamdulilah ya allah jimin sembuh,semoga ini yang terakhir juga
terpujilah blues! tiap birama ketiga contra bass yang memetik kunci kres: dendam sadis disibak,lalu dilepaskan.	Joy
terimakasih allah,terimakasih abah. skrg ni abah tak pernah pun salahkan mimi dah kalau porch sepah sbb kucing dan monyet
wkwkw ya gitu nder ldr susah wkwk. dia dari awal nge dm cewe aja sala. lah ini malah marah sama lu,marah balik lah jangan diem doang	Joy
gue jugaa dulu gitu nder wkwk tapi nanti seiring berjalan nya waktu reda kok amarah nya,belum bisa berdamai sama keadaan aja mangkanhya bawaan nya marah bgt tapi gapapa wajar kok itu
gua duduk sebelahan sm kak ji,"tapi kita chattingan lwt hp. trs dia ketawanya ""awokwok"""
marah gpp nder wajar itu,"asal jgn berlarut"" ya"
be mine iphone 12,my dream!! shopee jangan ragu untuk pilih aku sebagai pemenang nya ya
kaget,tapi oke
jika kita tidak pernah gagal sebelumnya,kita tidak akan pernah belajar kesalahan kita. jadi
gs astra menjadi pilihan utama oleh hampir seluruh produsen kendaraan bermotor di indonesia (oem quality) jadi,jangan ragu untuk membeli produk di gs astra ya!	Joy
satu bulan belakangan lumayan sibuk banyak kegiatan di luar rumah.. terus beberapa hari yang lalu asam lambung sempet kambuh udah takut banget bakal drop lagi.. tapi ga disangka,puji tuhan hari ini kondisi aku udah jauh lebih baikkan.. thankyou jesus	Joy
eng! guys aku abis bikin poem bahasa inggris lagi hihi,pada nangkep maksudnya kah? takut ga nyampe meaningnya	Joy
rendah sekolah ku jumlah kuota eligible mipa ada 95,dan aku rank 85 dg rata' segitu sempet takut bgt kegeser krn ada byk murid yg data nilai' nya salah
kaget ngeliat notif,disebut kqkwkw	Joy
dia emang gituu aku juga greget,gemes soft banget di rl tapi kalo liat film/dramanya kaget sekeren ituu	Joy
itu pas workshop school rangers bareng anggota baru,trus pas main game celananya p'nicky robek. gun keliatan kaget gitu
untung aja bener,jadi ga malu-maluin	Joy
apapun asal gak makan harapan palsu dan ketidakpastian,makji btw
kaget banget pas nonton yang bagian ini,tapi abis itu ngakak karena ekspresi dia gemes lo	Joy
semangat ya team,jangan lupa doa dulu setiap sebelum tanding
26. (awalnya malu-malu,tapi lama-lama mau) i vote for at the 2022	Joy
"team b baku hantam dari awal wkwkwwk emang gak ketemu tetangga tapi jodohnya sama korea:) ngeri"" sedap nih",akan ada baku hantam antara pedepokan dubai sama tadika mesra:)	Joy
terinspirasi dari kekuatan doa,yuk zuhur ini kita saling mendoakan. saya titip ke teman2 doakan tuk kesembuhan ibu dan kelancaran prog dakwah aja . temen temen mau titip apa? komen aja di bawah yg malu komen
alhamdulillah beneran jeongwoo,aq jadi tidak malu nanti awoaowkakw	Joy
hwaah jadi malu dibilang wendy og. Tetap bersyukur :D makasih banyak,kiel	Joy
dont. kalo panik,ntar stres
trs kalo ciput,kalo kena itu disuruh pake atasan mukena!! awal2 liat kaget trs kayak mau ngetawain gt
wkwk tapi maaf banget ini aku nganggep lucu. grup angkatan ada yang ngabarin crush ku ilang. aku malah kayak ketawa panik,tapi sebenarnya gak panik
gemes kalau liat kamu malu malu,mau saya kekepin seharian.	Joy
ga kuat ngakak bgtt,ap g malu y orngny di spill gini	Joy
tiba-tiba keinget,dulu pas ospek ada senior yang baik banget sama aku
lagi sebar duit lewat dana kaget nih! cuma buat kamu yang paling gesit,sikat sekarang	Joy
yuk,bagi sobat pandai yang lagi jomblo
iyaa,terus eps 10 maren tuh banyak animator anime yang keren ditarik jadi emang hasinya ngeri mantap banget sih	Joy
bingung banget si,kaget..tapi mari kita hadapi dengan percaya diri dan dengan gayamu sendiri saf
mjb,tapi baca ini ngakak banget
eh iya bener,aku kemaren kepilih buat ngisi acara rapat kan nah aku takut klo ngomongnya belibet trs aku minta sama allah biar dilancarin semuanya
kalo udah interact sama kamerad joo ngga jadi kesel,mana kamerad joo nya gemes banget kayak malu malu kucing plis gw jadi salfok sama mereka their little moment in every episode are so precious	Joy
aku pernah ni begini,lebih ke malu sih wkwk karna masak bareng temen tapi seruuu	Joy
alhamdulillah kalau nanti balik lagi,panik banget tadi tapi bersyukur ja deh	Joy
ada jg razia yg ga upacara. pas kelas 8 pernah sekali sok sakit jd stay di kelas sm 3 preman kelas tp ketauan gt trs pas disuruh turun ke lapangan,2 org lain jalan jongkok supaya ga keliatan (kelas w lt 2) dan w sm yg satunya lg jalan biasa trs dikira bolos buat pacaran ajg malu kawkawkawkkakawkka	Joy
wkwk padahal kemaren gw dah siap siap nahan malu,untung gajadi	Joy
pas punya dowoon wonpil kaget karena baru tau ada wish dari member,"pas young k ""okee eod"""
wkwkwk inget banget sama video ini,yg namjin muji penampilan hobi terus ada juga pas video jungkook muji kalau hobi hari itu ganteng banget gak kayak biasanya
kita mungkin sekarang merasa takut,tapi nanti itulah yang membuat kita menjadi lebih kuat. cemangatttt	Joy
terkahir deh,sengaja jg baru update skrng krn waktu itu banyak bngt pikiran smpe mikir takut ga lulus jadi blm berani share
semoga! hihi,terima kasih banyak
astaga temennya glo ada di mana-mana. rasanya males banget gak sih buat ngelanjutin gambar-gambar lama wkakak. hmm yupi ya,dulu aku suka beli yupi ulet apa cacing ya. pokoknya yang kayak ulet itu. tapi sekarang udah gak pernah beli lagi hehe	Joy
selamat pagi,sender! kebetulan alec sesuai banget sama kriteria kamu. dia main fc nya jaehyun terus side fcnya juyeon! dia juga bukan orangnya cuek dingin sama pasangannya
jaman smp,aku sering banget nangis. ngerasa aku orang yang paling menyedihkan
waktu kecil suka banget ngomongi masa depan ke teman teman,eh udah gede malah suka ngomongin teman. ngakaakk	Joy
oiya mau nambahin lagi! meskipun cara anaknya ambis tapi dia anaknya ga kaku dan galak,justru cara tu orangnya rame
aku gak suka yang bertele tele phi,enaknya makasih na phi! jangan bosen bosen kasih aku makanan dan kawan kawannya	Joy
done,wish me luck suka banget momen skz yang ini
suka korea tapi level kebodohan bucin hanya untuk diri sendiri dan gak nyinyir kesukaan orang. so,gw setuju sama ini	Joy
ini gua ketawa banget liat komennya,"lu bedain bg mana yang deket sama yang kaga. lu kata exo temenan cuman satu tahun dua tahun? kaga anjr wkwk. suka duka udh di lewatin sama"""
udah dong! sekarang akunku aman banget,tapi kadang masih suka takut kalau ngetweet tiba tiba gak bisa kekirim. : c tapi kayaknya itumah sinyal. anyway
manajer kayanya. suka bikin planning sbnrnya walaupun sering banget dipatahkan sama keadaan,stay strong	Joy
pengen banget punya jaket varsity,eh taunya dikasih jaket keren
i play both! tapi lebih suka the electric one,karena amp sempet rusak jadi udah lama gak main! (tmi: when i was in a band
w ngerasa cringe bgt anjir dr kmrn,kayak mau ngetik kak tuh a nya suka ilang jd kk emg sama aja si.. cm kan kesannya baku banget kyak w ngetik kakak tp di singkat jd kk hehe
amanda,dia temen sekelas aku waktu kelas 7. dia tuh cantik banget masyaallah
done all,wish me luck aku suka banget foto hj pake topeng gini kaya pangeran gituu	Joy
ini ibuku banget,beliau suka heran kok anaknya bisa beli barang2 kpop terus masih bisa beli baju dll
kok bisa setengah doang? waduh asik banget,kak juyeon suka lagu yang mana??	Joy
wow hari ini rasa rajin banget. belanja ke pasar terus bikin ebi furai nge-recook resepnya ci devina hermawan. untung berhasi dan enak,jadi semua orang rumah suka.	Joy
not sender tp aku jg udh selesai baca,ini genre romance+mental health bagus banget kalo suka cerita yg ga cuma ada romance-nya tp jg bahas banyak hal tentang mental health yg banyak bahasan psikologi-nya jg. dibawa jalan2 jg krn authornya ngedeskripsiin tempatnya bagus.	Joy
"ya itu binghe emangnya syp lagi kk aku gatau siapa"" ya buat km",sp lg coba mutualku kalo mau kasih temen juga gk mungkin
sukailah suka,sayangilah sayang
wahh suka sama tanaman ya om? sama kaya ibu aku. kadang emang gitu om,kalau sama2 sibuk atau salah satunya sibuk jarang banget ketemu. kalau nanti jadi ketemu sama adiknya titip salam ya om
haai,sender! selamat pagi
paling suka sih sama line guardiannya yg terakhir kali,"seinget gue yg di versi thai guardiannya juga bilang gitu ""after all"
sekian. gue sampe detik ini masih suka feel so amazed banget sama jungwon,keren banget dah pokoknya nih anak kalo gue jabarin satu satu bisa jadi manuskrip berharga yang diperebutkan seluruh dunia.	Joy
*kumpul keluarga relative: wah uda gede banget kamu,sekarang hobinya ngapain aja? mak gua: ohh si ini suka banget baca relative: wah iya kah pantesan kacamatamu tambah tebel itu gua: hehe iya tante.. also gua: /yg dibaca manga sm fanfiction smut ngakak abissss	Joy
tapi seru juga ya bacain tweet yang kemaren kemaren feeling orang gilanya dapet banget,aku suka ngetawain nasibku sendiri	Joy
teh godhong kupu aq udah jadi satu teko gitu biasanya buat 1 hari,3x minum.. rasanya kaya air cincau gt.. kalo yg suka manis bisa si kasih madu dll
mauuuuu!! aku dari kemaren mau mcflurry banget nder t__t tapi mau yang biasa aja yang oreo t__t aku ga terlalu suka yang varian barunya,kemanisan t__t	Joy
100 days my prince,ini wajib banget ditonton apalagi kalo suka romcom	Joy
gue paling suka romansa sama jolly,wanginya manis tapi pas. kalo yg manis banget itu charming
pagii!! mau ngenalin anak lama yg ak pribadi suka banget sm backstorynya krn kyk fabel xixi ini malam sm senja. dulunya mereka hewan asli,lho. tp dewi bulan dan matahari ngerestuin mereka jd manusia krn beberapa hal	Joy
yg aku suka dari idexpress ada nama kurirnya,mana cepet banget njirr	Joy
kalian yang belum nonton,mending nonton sii
fess ada yg suka minuman non coffee apa aja dan pake susu almond? biasanya minumannya apa dan beli dimana? kmrn aku beli latte sbux pake susu almond,suka banget
banyak2 baca dan latihan ngerjain soal,tapi gue dulu suka kimia karena ibuknya baik
jangan gitu nder,gua juga suka keluar tengah malem terus foto kembang itu
sebagai yang suka main game online,butuh banget internet cepat di rumah. kalo internet lancar
ini loh kayak gini tiap baca ceritanya,aku suka ketawa karena kelakuannya aku banget	Joy
banyak yangg aku mau belii,tapi mungkin aku beli 1/2 buku ajaa aksks pengennya wishlist aku ke coret semua aku dari dulu emang suka banget baca buku kayak novel genre nya bebas deh kecuali komik soalnya pusing baca nya	Joy
kalo indonesia aku lebih suka per artist sih kayak kunto aji,tulus
morning cantik,kebetulan nih kala pakai fc taehyung dan side fc nya jungkook jadi pas buat kamu wkwkw avail buat hari ini bisa kok tipikal aku itu suka banget bawel sama pacar terus juga kadang suka cerita hal random gitu dari mulai sambang sampe merauke wkwk bahasanya	Joy
buat kalian yang butuh epha app prem yg murah,fastrespon dan suka kasi promo
terima kasih banyak kak derza! aamiin aamiin terima kasih atas semua ucapan dan doa baiknya. semoga semua doa baiknya berbalik ke kamu ya. terima kasih sudah menyempatkan ngucapin selamat ulang tahun ke aku hehe. terima kasih juga atas hadiah,kue
selain itu,saat ini belut juga sudah menjadi cemilan yang dikembangkan oleh beberapa umkm lho. wah
inilah yang sudah lama kunanti. akhirnya ngadain webinar yg topiknya nendang banget,yaitu tentang toxic relationship. yuk lah bestie yang masih suka galau2 masalah percintaan mending ikutan ini!!	Joy
me too,malah kalo menang ga suka aku kasih tau
random banget gue mimpiin mereka berdua wkwk dulu bucin banget sama film ini,gara gara film ini gue sempet suka film film thailand wkwk	Joy
sumpah no comment. brcnd. temen gue lumayan lama paling lama itungane udah mau tiga tahun apa?so far so good galak banget tapi sumpah keren banget anaknya kreatip dan suportip,suka minum kopi sehari abis dua liter abis itu bilang gabisa tidur :v	Joy
aslik suka banget sama natrep. msh ada produknya yg under 20k. cocok di muka pun,ga bkn break out	Joy
iya bangett,tapi no wonder sih. mama pas masih muda cantikk banget. pas baru kerja pun
tentang makhluk mitos bulgasal yg mau balas dendam,dan dalam perjalanannya dia tuh bertemu dgn keluarga. kayak ini balas dendam
maria vania cukup memerhatikan fashion saat berolahraga jetski,main tenis
mamakku itu,emang cantik banget mamaku dulu mamaku suka porotin duit cowok wkwk sekarang alhamdulillah tidak mendukung ke anaknya	Joy
kaya dia bakal kasih apapun ke orang itu,tapi jarang banget kejadian soalnya kan gemini suka main main jadi jarang banget tuh mau serius gitu wkwk	Joy
bener banget haha sampe skrg msih suka kebayang2 sendiri,temen2 yg baru nonton aja aku jdi ikutan nonton saking gamonnya	Joy
itu dibase. nyari mutual,"trus bilangnya ""aku suka foto ga jelas"" tapi yg di post jelas banget makanya mau ketawa wkwk	Joy"
selamat pagi dari pku,tante baru bgn
baru banget beres baca,dibawahnya ada bonchap dong gg bisa ngeclaim lagi l bagus banget au nyaa
dulu gojek rame banget dan grab juga masih sepi,katanya sebagian saham uber di beli grab jadi macam kerja sama mereka. kwkwk ttp w lebih suka uber sendiri weh ga mau balik lagi apa ya	Joy
kok suka ya liat fadly,omnya gala. kaya adem gitu liat wajah dia. nggak yg cakep banget
dulu nemenin mbah nonton ini sepulang sekolah atau kalau lagi libur waktu siang . mbahku juga kalau nonton ini serius banget nyimaknya wkwk. aku suka bercandain dgn ganta ganti channel,apalagi kalau pas scene naga terbang ngakak bgt ngeliatnya	Joy
halo ka ofiee!! aku suka bangeett sama genre au kaka yang baru. semangat terus ya nge-au nya. jaga kesehatan selalu,"dan jangan lupa baha.. "" haii!! woww aku seneng banget dengernya makasi yaa udah suka dan mau bacaa jangan lup.. fiecc	Joy"
suka banget sama dialog ini,simple tapi ngena buat gue pribadi
pertama suka idolnya tsukipro itu dari 2.5d butai tsukiuta,suka banget six gravity
tetangga ku baik baik semua,agak kepoan sih tp masih batas wajar
renjana beuhh bagus banget!! sempet baca sampe tamat di wattpad sblm naik cetak. biasa nya ga begitu suka baca novel tentang reinkarnasi soalnya bahasanya biasanya berat,tapi disini bahasa nya mudah dimengerti	Joy
hahaha sama,lagi baca ulang volvoreta gak tau kenapa kakak tuh suka banget ngulang baca volvoreta
haii jugaa boleh temenan gak min,jujur tweets kamu seru banget dan sering seliweran di tl suka liatnya!! telat gak sih min baru nawarin diri :d	Joy
iya,gaya penulisannya aku suka banget
assalamualaikum temen-temen ini keadaan alan sekarang yaa sudah lebih baik alhamdulillah dia makannya lahap,sudah minum obat dan rutin aku kasih salep tapi sayang banget dia kalo pup minta keluar rumah dan harus dijagain supaya nda kena kucing kampung yang suka nyerang k	Joy
mana pas syuting lucu banget,suka becanda bareng jisoo	Joy
aku bukannya nda suka sih tp ngga bisaa,karena punya alergi rhinitis dan kt dokter kalau bisa di kamar jangan ada terlalu banyak barang biar nda memperparah
alhamdulillah kabar baik jugaa,udh srpan belum niee ??	Joy
alhamdulillah jimin udah sembuhh amyy,plis seneng bangett lagi disekolah seharian bdmd gatau kenapa dengar kabar ini langsung naik moodnyaa
alhamdulillah,
haii,apa kabar? jangan lupa sarapan yaa
haii sasa,apa kabar? jangan lupa sarapan yaa
pagi-pagi ada kabar baik kalo jimin sudah sembuh,dan tinggal menjalani masa pemulihan doang. alhamdulillah
. seneng banget pagi-pagi dapat kabar bagus begini,syukurlah jiminnya army sudah sembuh. sehat selalu jimin.	Joy
i think senpai-tachi found it kenchan is so cute tho. i mean,mereka berdua tuh udh kenal kenchan dri umur belasan tahun atau bahkan kurang
ntah kebetulan atau engga,setiap gua udah capek banget
uri markeu selamat buat solo stationnya yeayy proud of you,makasii udah nyiptain karya yg luar biasa
happy birthday sender!! wish u all the best,be happy ya bsk giliran harinya aku tp pasti g ada yg ngucapin jg
bang tombyyyyyyy apa kabar,lama gak nampak
jangan khawatir boy,gw juga gagal pinalti tadi kok. apalagi ini cuma kompetisi haha hihi piala fa aja
setdah salut banget sama sender,aku tak sanggup menjawabnya karena aku di perikanan saja sudah hampir menangis tiap malam pusing tugas + prak haha semangat nder	Joy
bangun tidur dapat kabar baik tentang jimin seneng bangett,jagoanku udah sembuh	Joy
jiminn,makasih udah berjuang untuk pulih seneng banget denger kabar kamu udah keluar rumkit tinggal masa pemulihan
semangat kak,jangan banyak pikiran dulu ya kak biar imun nya tetap baik kak
ah,kabar baik pagi ini. thanl youu
omg!! finally ada kabar baik pagi ini. jimii syg kuat banget,hebat banget. bangga sama jimii skrg banyak2in istirahat dulu yaa syg! mam yg banyak. jangan capek2. semoga semakin cepet pulih
alhamdulillah pagipagi dapet kabar baik i'm soo happyy yayy ayang jimin udah sembuhh,tinggal pemulihan abis operasi nya aja ya..	Joy
yash,seneng banget hari ini dapet kabar jimin sembuh! i vote for for at the 2022	Joy
puji tuhan kabar baik jimin sudh sembuh dari covid dan sekarang tinggal proses pemulihan nya abis operasi,tapi tetap jaga kesehatan terus dan banyak istirahat ya..	Joy
aaaaaaaa.. ayang dah sembuh alhamdulillah jimin nangis weh,rada trauma klo dpt notif dri wvtp alhamdulillah dpt kabar baik	Joy
jangan kenceng2 nanggepinya bg,akun cuma 1 follower mah biasa reply idiot gitu akwoakwokw	Joy
aku langsung nyobain nder,ini pake minyak telon doang sih. wah luar biasa :')	Joy
baru bangun,puji tuhan dapet kabar baik tentang jimin	Joy
pagi pagi disambut sama kabar baik dar jimim gimana nih rasanya? semoga hari ini mood baiknya terus terjaga sampai akhir hari yaa! jangan lupa jaga kesehatan juga biar jimim ga sedihh,have a nice weekend lovely a‚^ a· ^a‚Ž	Joy
hari ini dapat kabar bahagia,masyaallah alhamdulillah..	Joy
wauww seneng dong wan bacot mau ngapain saja sdh bebas : bkr pasang naturalisasi bgn klaster2 smr resapan demo setiap hari buat sirkuit di monas ngecat atap2 rmh warga buat tugu2 sepatu beriklan mangkrak tugu sepeda keren,bebas mau ngapain saja	Joy
aku baru bangun tidur,langsung lihat ada kabar baik. alhamdulillah jimin udah sembuh	Joy
hi guysss jangan lupa cek berita dan ya terus saksikan dengan meriah konsernya hari ini,mangattsss	Joy
baru bangun tidur,trus ngecek twt trus dapet kabar jimin sembuh tuhh masya allah senengg bangett
mau ini bener atau kaga,tapi klo denger kabar baik soal timnas
jiminku sembuh,semoga dia secepatnya bisa beraktifitas seperti biasa	Joy
erick thohir luar biasa hebat,applause	Joy
alhamdulilah,luar biasa
iya bener,mood bgt pagi ini denger kabar jimin.. perjalanan ke tmpat kerja senyum2 terus sambil denger lagu bangtan
lah ada ahah,aku kira orang biasa pas lewat gasadar
ya allah baru bangun dapat kabar baik alhamdulillah jimin kamu udah (-) cvd-19 udah boleh pulang juga,"banyak"" istirahat ya sayang semoga bisa pulih secepatnya dan bisa nyapa army lagi"
pagi pagi buka twt langsung dapet kabar baik,jimin udah negatif dan tinggal pemulihan pasca operasi. seneng banget aku tuh
"kemarin mencoba wedang ronde jago salatiga. memang beda dengan wedang ronde biasa selain isian bolaa"" rondenya yg padat",ada semacam manisan jahe di dalamnya
mobilnya mantap uiii kayak di iklan di berita,maknyuss senang	Joy
semangatnya cmn beberapa jam saja,wkwkkw happy taehyun day _21_	Joy
semangat ya,fase fase seperti itu memang luar biasa	Joy
alhamdulillah,"kabar baik di pagi hari. semoga seterusnya ""hello.this is bighit music"" bawa kabar baik yaa	Joy"
idm selamat pagii!! seneng banget dapet kabar jiminie hari ini buat kalian,sehat2 terus yaa!! jgn lupa sarapan	Joy
aaaaa sender seneng banget akhirnya au sender mulai rame dulu ga ada yang nungguin,sekarang yang nungguin hampir 300 orang semangat para author!! jangan sedih au kalian masih sepi
cape nyari kerja,nyari judul ta
hahaha siap somi,semoga tahun ini somi udah gak sedih sedih lagi ya tinggal bahagianya aja nanti. teteplah kita menjadi badut!	Joy
kak ann,thankyouu karna kamu udah bikin au sebagus ini. aku nangiss bgt
pagi ji,gue happy dapat kabar baik dr lo ji..akhirnya kamu balik ke rmh jga.. seneng deh.. jaga kesehatan yah jii
alhamdulillah jiminie udh sembuh,jgn sedih lagi ya mangatss	Joy
another level of lockey,dari sedih bisa ketawa wkakwkk	Joy
im shoo happy meskipun rada kecewa sama durian2nya. ngerasa keluar budget banyak tp gak worth it. tp gpp,yg pntg kebersamaannya yakan	Joy
huaa bagus aunya aku suka,simple
gm zamm,congrats banyak betul laa tembak tak kena smlm hahaa badape
pagi ini syahdu banget~ dingin,hujan
gue buka twitter tumben teume sepi yang nyapa2 pagi,tau2nya pas buka pesbuk pada nyapa pagi disana semua anjir ngakak beneran hijrah	Joy
capek biasanya denger stand by me suka sedih ke inget dika askara,ini ngakak bgt gegara ini	Joy
video taehyun favoritku yg ada digaleri kalo lg sedih,liat video ini bikin moodku membaik. kyk ada magic(?) pokonya pas nonton auto senyum2 dan kepalaku ikut goyang makasih byk yg udh ngedit ini. tyunie disini gemes bgt _21_	Joy
ada untungnya juga semalem matlis,ga kecewa karena ga nnton mu wkwk	Joy
happy birthday zidd,happy terus ya jangan sedih	Joy
hshshhs aku terharu aa makasi ka cinn,sayang banget deh sama ka cin pokoknya sure tata ga akan berubahhhhhh
my lovely bestfriend,anaknya emang kek anjing tapi lucuu!! setiap main gapernah ada sedih sedihnya
minta maaf abis cerita gitu? aku jadi bersyukur banget punya bestie,dia yg kujadiin tempat cerita sedih selalu ada
harus sub unit/foto lebih dari 3 member biar agak rame wkwk c/o : cbx me,sc me.. klo solo sepi bat berdua doang (tapi udah bersyukur bisa sama salah satu member
pagi dunia,hari ini aku gak boleh sedih harus semangats	Joy
aku seneng baca kayak yang benang kusut,not so royal romance nya weishin.. son for the king yg satu lagi tuh lupa judulnya pokonya 22nya seungzz punya kak daisy.. apalagi kalo ada angstnya kalo ada rekomendasi lagi kasitau ya gaiss terserah pairing siapa aja~	Joy
happy born day dek jisung sehat selalu dan bahagia ya dek *double happy ultah adek+molo ya meskipun sedih krn gk bsa hype sibuk nguli eitss semangat,besok libur __	Joy
selamat pagi fans mu. sabar,masih banyak kecewa yang harus dilalui. wakakaak	Joy
orang kalau hatinya udah kotor tu pasti ada aja tingkah jahatnya,itu peristiwa paling gak bisa dilupa deh dan jadi peristiwa sedih juga. alhamdulillah om ku sembuh dan bisa pulih kembali
seru tau prenjon zer kdng sedih kdng baper,seru kan	Joy
kadrun kroco sih cuman dapet nasbung jk ada order demo. tp kini lg sepi order jd kelaparan mknya ngaco meracau jadinya,wkwk ngakak	Joy
